tgDataLogger2 started logging at time 04092024_090636, with 33 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(activated_cable).RestLen,6_SCA(activated_cable).CurrLen,6_SCA(activated_cable).Tension,7_SCA(activated_cable).RestLen,7_SCA(activated_cable).CurrLen,7_SCA(activated_cable).Tension,8_SCA(activated_cable).RestLen,8_SCA(activated_cable).CurrLen,8_SCA(activated_cable).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,30_SCA(springs).RestLen,30_SCA(springs).CurrLen,30_SCA(springs).Tension,31_SCA(springs).RestLen,31_SCA(springs).CurrLen,31_SCA(springs).Tension,32_SCA(springs).RestLen,32_SCA(springs).CurrLen,32_SCA(springs).Tension,
0.2001,-0.17479,3.19916,0.82915,-0.246884,0.0439626,0.908182,0.0326286,0.807922,4.96961,-0.723104,-0.234633,0.0535327,0.908678,0.0326286,-0.836944,4.614,-0.0733033,-0.430193,-0.0993706,-0.657587,0.0326286,1.47025,3.55458,0.179285,-0.430259,-0.0992592,-0.65758,0.0326286,0.0819295,3.33387,-0.951633,-1.96315,0.366418,0.10614,0.0326286,0.551337,4.83482,1.05762,-1.96356,0.362615,0.106007,0.0326286,5.81557,5.55945,0,5.81557,5.55914,0,5.81557,5.55958,0,2.94258,2.97373,56.0558,2.94258,2.97391,56.3841,2.94258,2.97384,56.2666,2.94258,2.97379,56.1688,2.94258,2.97379,56.1672,2.94258,2.97394,56.4433,2.94258,2.97374,56.0727,2.94258,2.97371,56.0218,2.94258,2.97374,56.0887,2.94258,2.97382,56.2314,2.94258,2.9737,55.9991,2.94258,2.97387,56.3197,2.94258,2.97389,56.3554,2.94258,2.97382,56.2176,2.94258,2.97382,56.2268,2.94258,2.97395,56.4532,2.94258,2.97395,56.4529,2.94258,2.97373,56.0594,2.94258,2.97385,56.2773,2.94258,2.9739,56.3722,2.94258,2.97387,56.3135,2.94258,2.97377,56.1378,2.94258,2.97376,56.1194,2.94258,2.97385,56.2791,
0.4002,0.211768,3.0771,0.621327,-0.521798,-0.157889,1.06958,0.0326286,1.93162,4.47024,-0.399179,-0.540255,-0.167533,1.07294,0.0326286,0.217234,4.58063,-0.224489,-0.773781,-0.245977,-0.445895,0.0326286,1.92026,2.97499,0.445255,-0.731865,-0.330492,-0.458221,0.0326286,0.920439,3.18898,-0.944593,-2.18098,0.463883,0.315579,0.0326286,1.21771,4.3642,1.16559,-2.15726,0.54221,0.324352,0.0326286,5.81557,5.50929,0,5.81557,5.49763,0,5.81557,5.50597,0,2.94258,2.97618,60.4673,2.94258,2.97412,56.7581,2.94258,2.97179,52.5779,2.94258,2.97478,57.9517,2.94258,2.97707,62.0679,2.94258,2.97972,66.8453,2.94258,2.97407,56.6793,2.94258,2.97649,61.0269,2.94258,2.96775,45.2965,2.94258,2.97414,56.7935,2.94258,2.97736,62.6022,2.94258,2.97972,66.8356,2.94258,2.97455,57.532,2.94258,2.96811,45.949,2.94258,2.97714,62.1914,2.94258,2.97672,61.4435,2.94258,2.97497,58.2967,2.94258,2.97207,53.082,2.94258,2.97499,58.3294,2.94258,2.97754,62.9135,2.94258,2.97462,57.6616,2.94258,2.97447,57.3884,2.94258,2.97847,64.5911,2.94258,2.97406,56.6604,
0.6003,0.0329141,3.02704,0.411339,-0.440748,-0.303471,1.00505,0.0326286,1.81344,4.43372,-0.635874,-0.451797,-0.309769,1.00591,0.0326286,0.044726,4.44591,-0.640377,-0.683844,-0.437738,-0.479891,0.0326286,1.80051,3.01072,0.414916,-0.68367,-0.439883,-0.479882,0.0326286,0.920163,2.98691,-1.11809,-2.01014,0.482712,0.496366,0.0326286,0.9241,4.47136,0.895042,-2.00846,0.484679,0.497274,0.0326286,5.81557,5.53143,0,5.81557,5.53784,0,5.81557,5.53748,0,2.94258,2.97092,50.9974,2.94258,2.97483,58.0406,2.94258,2.97409,56.7033,2.94258,2.97377,56.1414,2.94258,2.96936,48.1928,2.94258,2.97445,57.3611,2.94258,2.9742,56.9054,2.94258,2.97494,58.2407,2.94258,2.97287,54.5061,2.94258,2.97422,56.9492,2.94258,2.97483,58.0437,2.94258,2.97241,53.6838,2.94258,2.97423,56.9688,2.94258,2.97498,58.3121,2.94258,2.97564,59.4992,2.94258,2.97522,58.7387,2.94258,2.97402,56.5758,2.94258,2.97425,57.001,2.94258,2.97412,56.7724,2.94258,2.97388,56.327,2.94258,2.97512,58.5652,2.94258,2.97389,56.3493,2.94258,2.97484,58.0641,2.94258,2.97583,59.8451,
0.8004,-0.0293034,2.98878,0.416252,-0.463719,-0.334232,1.04351,0.0326286,1.8083,4.45836,-0.561283,-0.456492,-0.330329,1.04082,0.0326286,0.00675711,4.45848,-0.623702,-0.694983,-0.447623,-0.439294,0.0326286,1.77211,2.98895,0.478209,-0.6941,-0.450484,-0.439764,0.0326286,0.925541,2.98903,-1.11276,-1.98758,0.518855,0.521748,0.0326286,0.853394,4.45816,0.967497,-1.99211,0.513085,0.519436,0.0326286,5.81557,5.55628,0,5.81557,5.55632,0,5.81557,5.5558,0,2.94258,2.97444,57.3443,2.94258,2.97356,55.7574,2.94258,2.97438,57.2397,2.94258,2.97337,55.4083,2.94258,2.97215,53.2095,2.94258,2.9749,58.1696,2.94258,2.97336,55.4012,2.94258,2.97491,58.1841,2.94258,2.97211,53.1436,2.94258,2.9734,55.4713,2.94258,2.97477,57.9282,2.94258,2.97395,56.4525,2.94258,2.97337,55.4147,2.94258,2.97209,53.1126,2.94258,2.9749,58.1622,2.94258,2.97476,57.9146,2.94258,2.97341,55.4897,2.94258,2.97393,56.4297,2.94258,2.97395,56.4621,2.94258,2.97395,56.465,2.94258,2.97394,56.4474,2.94258,2.97342,55.5015,2.94258,2.97476,57.922,2.94258,2.97391,56.388,
1.0005,-0.0120423,2.98788,0.417228,-0.459411,-0.324491,1.03881,0.0326286,1.79156,4.43688,-0.564086,-0.456129,-0.322555,1.03641,0.0326286,0.0126242,4.43689,-0.609455,-0.691995,-0.440031,-0.44602,0.0326286,1.76426,2.98787,0.46184,-0.691525,-0.44402,-0.446473,0.0326286,0.914745,2.98788,-1.09879,-1.99367,0.511758,0.51168,0.0326286,0.862804,4.43689,0.953828,-1.99706,0.509092,0.509532,0.0326286,5.81557,5.54045,0,5.81557,5.54044,0,5.81557,5.54045,0,2.94258,2.97445,57.3643,2.94258,2.97445,57.35,2.94258,2.97444,57.3463,2.94258,2.97407,56.6776,2.94258,2.9707,50.6121,2.94258,2.97512,58.559,2.94258,2.97407,56.677,2.94258,2.97512,58.5558,2.94258,2.97069,50.5984,2.94258,2.97396,56.4826,2.94258,2.97516,58.6416,2.94258,2.97374,56.077,2.94258,2.97407,56.6782,2.94258,2.9707,50.606,2.94258,2.97512,58.557,2.94258,2.97516,58.6415,2.94258,2.97396,56.4839,2.94258,2.97373,56.0687,2.94258,2.97433,57.1373,2.94258,2.97433,57.1401,2.94258,2.97433,57.1378,2.94258,2.97396,56.4829,2.94258,2.97516,58.6426,2.94258,2.97374,56.0732,
1.2006,-0.0230863,2.98869,0.415932,-0.461826,-0.330669,1.04163,0.0326286,1.80142,4.45016,-0.562473,-0.456844,-0.327941,1.03938,0.0326286,0.00907049,4.45016,-0.618828,-0.694037,-0.44477,-0.441657,0.0326286,1.76865,2.98869,0.472038,-0.692068,-0.449954,-0.442697,0.0326286,0.92137,2.98869,-1.1077,-1.9901,0.515882,0.518022,0.0326286,0.856439,4.45016,0.961568,-1.99384,0.511402,0.516019,0.0326286,5.81557,5.55007,0,5.81557,5.55008,0,5.81557,5.55008,0,2.94258,2.97431,57.1113,2.94258,2.97431,57.1143,2.94258,2.97432,57.1187,2.94258,2.97351,55.6665,2.94258,2.97175,52.504,2.94258,2.97493,58.2267,2.94258,2.97351,55.6666,2.94258,2.97493,58.2267,2.94258,2.97175,52.5041,2.94258,2.97352,55.6838,2.94258,2.97484,58.0616,2.94258,2.97386,56.3001,2.94258,2.97351,55.6665,2.94258,2.97175,52.5038,2.94258,2.97493,58.2267,2.94258,2.97484,58.0614,2.94258,2.97352,55.6838,2.94258,2.97386,56.3001,2.94258,2.97402,56.5805,2.94258,2.97402,56.5805,2.94258,2.97402,56.5804,2.94258,2.97352,55.6838,2.94258,2.97484,58.0615,2.94258,2.97386,56.3,
1.4007,-0.0179969,2.98816,0.416791,-0.46039,-0.327493,1.04023,0.0326286,1.79707,4.44413,-0.563581,-0.456446,-0.325251,1.03787,0.0326286,0.0103014,4.44413,-0.614516,-0.692982,-0.442444,-0.443833,0.0326286,1.76686,2.98816,0.467189,-0.691983,-0.446839,-0.444496,0.0326286,0.918078,2.98816,-1.10374,-1.99194,0.5136,0.514878,0.0326286,0.859572,4.44413,0.958335,-1.99546,0.510262,0.512783,0.0326286,5.81557,5.54578,0,5.81557,5.54578,0,5.81557,5.54578,0,2.94258,2.97441,57.2815,2.94258,2.97441,57.2835,2.94258,2.97441,57.2871,2.94258,2.97384,56.2622,2.94258,2.97102,51.1907,2.94258,2.97502,58.388,2.94258,2.97384,56.2623,2.94258,2.97502,58.3876,2.94258,2.97102,51.1894,2.94258,2.97377,56.1388,2.94258,2.97502,58.3755,2.94258,2.97375,56.0928,2.94258,2.97384,56.2623,2.94258,2.97102,51.1902,2.94258,2.97502,58.3878,2.94258,2.97502,58.3753,2.94258,2.97377,56.1389,2.94258,2.97375,56.0919,2.94258,2.97418,56.8782,2.94258,2.97418,56.8786,2.94258,2.97418,56.8782,2.94258,2.97377,56.1388,2.94258,2.97502,58.3756,2.94258,2.97375,56.0924,
1.6008,-0.0182751,2.98845,0.416544,-0.46133,-0.32819,1.04046,0.0326286,1.79694,4.44446,-0.563243,-0.456501,-0.325508,1.03806,0.0326286,0.010663,4.44446,-0.614584,-0.693117,-0.442695,-0.443629,0.0326286,1.76679,2.98845,0.467547,-0.691409,-0.447846,-0.44458,0.0326286,0.918428,2.98845,-1.10387,-1.99142,0.514635,0.515255,0.0326286,0.859339,4.44446,0.958048,-1.99526,0.51036,0.513123,0.0326286,5.81557,5.5459,0,5.81557,5.5459,0,5.81557,5.5459,0,2.94258,2.97443,57.3216,2.94258,2.97443,57.328,2.94258,2.97443,57.3304,2.94258,2.97368,55.9735,2.94258,2.97141,51.888,2.94258,2.97498,58.3175,2.94258,2.97368,55.9736,2.94258,2.97498,58.3174,2.94258,2.97141,51.8879,2.94258,2.97365,55.9254,2.94258,2.97494,58.2344,2.94258,2.97381,56.2134,2.94258,2.97368,55.9735,2.94258,2.97141,51.8876,2.94258,2.97498,58.3174,2.94258,2.97494,58.2343,2.94258,2.97365,55.9254,2.94258,2.97381,56.2133,2.94258,2.97411,56.7445,2.94258,2.97411,56.7445,2.94258,2.97411,56.7444,2.94258,2.97365,55.9254,2.94258,2.97494,58.2343,2.94258,2.97381,56.2131,
1.8009,-0.0211118,2.98837,0.41684,-0.460951,-0.328875,1.04085,0.0326286,1.79989,4.44817,-0.563574,-0.456597,-0.326445,1.03853,0.0326286,0.00891379,4.44817,-0.616982,-0.693467,-0.443458,-0.44285,0.0326286,1.76848,2.98837,0.469845,-0.692072,-0.448172,-0.443668,0.0326286,0.919587,2.98837,-1.10649,-1.99115,0.514544,0.516277,0.0326286,0.858147,4.44817,0.960751,-1.99476,0.51075,0.514225,0.0326286,5.81557,5.54873,0,5.81557,5.54873,0,5.81557,5.54873,0,2.94258,2.97437,57.2226,2.94258,2.97438,57.2289,2.94258,2.97438,57.231,2.94258,2.9737,56.001,2.94258,2.9713,51.6882,2.94258,2.97497,58.2973,2.94258,2.9737,56.0011,2.94258,2.97497,58.2972,2.94258,2.9713,51.6882,2.94258,2.97366,55.9334,2.94258,2.97493,58.2211,2.94258,2.97378,56.1506,2.94258,2.9737,56.001,2.94258,2.9713,51.6879,2.94258,2.97497,58.2972,2.94258,2.97493,58.2209,2.94258,2.97366,55.9334,2.94258,2.97378,56.1506,2.94258,2.9741,56.7336,2.94258,2.9741,56.7336,2.94258,2.9741,56.7335,2.94258,2.97366,55.9334,2.94258,2.97493,58.221,2.94258,2.97378,56.1504,
2.001,-0.0161275,2.9883,0.417256,-0.461224,-0.326826,1.03984,0.0326286,1.79498,4.44219,-0.56407,-0.456292,-0.324069,1.03729,0.0326286,0.0109434,4.44219,-0.612493,-0.69258,-0.441466,-0.444788,0.0326286,1.76635,2.9883,0.465315,-0.690922,-0.446788,-0.445736,0.0326286,0.916731,2.9883,-1.10239,-1.99207,0.514082,0.513681,0.0326286,0.861026,4.44219,0.956742,-1.99609,0.509735,0.511416,0.0326286,5.81457,5.54428,0,5.81457,5.54429,0,5.81457,5.54429,0,2.94258,2.97452,57.49,2.94258,2.97453,57.5006,2.94258,2.97453,57.5002,2.94258,2.97378,56.1478,2.94258,2.97119,51.4931,2.94258,2.97501,58.3617,2.94258,2.97378,56.1479,2.94258,2.97501,58.3617,2.94258,2.97119,51.4932,2.94258,2.97373,56.0586,2.94258,2.97499,58.3272,2.94258,2.97378,56.1481,2.94258,2.97378,56.1478,2.94258,2.97119,51.4926,2.94258,2.97501,58.3616,2.94258,2.97499,58.327,2.94258,2.97373,56.0586,2.94258,2.97378,56.1481,2.94258,2.97416,56.8314,2.94258,2.97416,56.8313,2.94258,2.97416,56.8311,2.94258,2.97373,56.0587,2.94258,2.97499,58.3271,2.94258,2.97378,56.1478,
2.2011,-0.0214103,2.98848,0.417333,-0.461291,-0.328789,1.04075,0.0326286,1.80004,4.44894,-0.56406,-0.456543,-0.326159,1.03841,0.0326286,0.00843108,4.44893,-0.616889,-0.693395,-0.443219,-0.443067,0.0326286,1.76907,2.98848,0.469843,-0.6917,-0.448283,-0.44401,0.0326286,0.919303,2.98848,-1.10702,-1.99114,0.514807,0.515995,0.0326286,0.858485,4.44894,0.961107,-1.9949,0.510604,0.513912,0.0326286,5.61447,5.54927,0,5.61447,5.54927,0,5.61447,5.54927,0,2.94258,2.97439,57.2524,2.94258,2.9744,57.2629,2.94258,2.9744,57.2624,2.94258,2.97363,55.889,2.94258,2.97143,51.9244,2.94258,2.97495,58.2623,2.94258,2.97363,55.8891,2.94258,2.97495,58.2624,2.94258,2.97143,51.9251,2.94258,2.97361,55.8481,2.94258,2.9749,58.1607,2.94258,2.9738,56.1838,2.94258,2.97363,55.8889,2.94258,2.97143,51.9244,2.94258,2.97495,58.2623,2.94258,2.9749,58.1606,2.94258,2.97361,55.848,2.94258,2.9738,56.1843,2.94258,2.97407,56.6766,2.94258,2.97407,56.6764,2.94258,2.97407,56.6764,2.94258,2.97361,55.8481,2.94258,2.9749,58.1606,2.94258,2.9738,56.1839,
2.4012,0.0788002,2.9792,0.427993,-0.43283,-0.268701,1.01586,0.0326286,1.7003,4.29826,-0.574815,-0.429607,-0.266713,1.01389,0.0326286,0.0490004,4.29826,-0.52514,-0.694147,-0.384623,-0.475022,0.0326286,1.72821,2.9792,0.377717,-0.693377,-0.388393,-0.47554,0.0326286,0.859964,2.9792,-1.02557,-2.02445,0.468866,0.459594,0.0326286,0.917671,4.29826,0.880091,-2.02735,0.465987,0.457905,0.0326286,5.41437,5.42647,241.837,5.41437,5.42647,241.836,5.41437,5.42647,241.836,2.94258,2.97266,54.134,2.94258,2.97266,54.1332,2.94258,2.97266,54.1348,2.94258,2.98154,70.1255,2.94258,2.9648,39.9824,2.94258,2.99356,91.7598,2.94258,2.98154,70.126,2.94258,2.99356,91.7597,2.94258,2.9648,39.9825,2.94258,2.96745,44.7658,2.94258,2.99364,91.9059,2.94258,2.98142,69.9005,2.94258,2.98154,70.1256,2.94258,2.9648,39.9827,2.94258,2.99356,91.7598,2.94258,2.99364,91.9057,2.94258,2.96745,44.7654,2.94258,2.98142,69.9004,2.94258,2.9723,53.4936,2.94258,2.9723,53.494,2.94258,2.9723,53.4938,2.94258,2.96745,44.7654,2.94258,2.99364,91.9057,2.94258,2.98142,69.9006,
2.6013,0.19914,2.95231,0.448231,-0.376873,-0.174874,0.992306,0.0326286,1.58094,4.07048,-0.594993,-0.376793,-0.174501,0.990598,0.0326286,0.0912156,4.07048,-0.41169,-0.718834,-0.291465,-0.512378,0.0326286,1.68557,2.95231,0.263368,-0.720254,-0.292533,-0.512125,0.0326286,0.782261,2.95231,-0.931489,-2.06377,0.379227,0.39248,0.0326286,0.994821,4.07048,0.786795,-2.06542,0.379539,0.3911,0.0326286,5.21427,5.23242,362.836,5.21427,5.23242,362.836,5.21427,5.23242,362.835,2.94258,2.96928,48.045,2.94258,2.96928,48.0444,2.94258,2.96928,48.046,2.94258,3.01148,124.009,2.94258,2.94865,10.9177,2.94258,3.04813,189.978,2.94258,3.01148,124.01,2.94258,3.04813,189.978,2.94258,2.94865,10.9178,2.94258,2.95184,16.6613,2.94258,3.04839,190.448,2.94258,3.01102,123.176,2.94258,3.01148,124.009,2.94258,2.94865,10.9179,2.94258,3.04813,189.978,2.94258,3.04839,190.447,2.94258,2.95184,16.661,2.94258,3.01102,123.176,2.94258,2.96927,48.0305,2.94258,2.96927,48.031,2.94258,2.96927,48.0306,2.94258,2.95184,16.6609,2.94258,3.04839,190.447,2.94258,3.01102,123.176,
2.8014,0.284776,2.79029,0.544247,-0.352656,-0.0886755,1.04669,0.0326286,1.60288,3.81508,-0.694271,-0.388234,-0.0938742,0.942854,0.0326286,-0.00572879,3.81508,-0.381053,-0.680438,-0.226197,-0.580698,0.0326286,1.72591,2.79029,0.141196,-0.791604,-0.257157,-0.565921,0.0326286,0.656291,2.79029,-0.905337,-2.01751,0.291109,0.367098,0.0326286,1.06983,3.81508,0.855431,-2.10363,0.353543,0.293089,0.0326286,5.03837,5.05837,400,5.03837,5.05837,400,5.03837,5.05837,400,2.94258,2.97648,61.0124,2.94258,2.97648,61.0119,2.94258,2.97648,61.0119,2.94258,3.05171,196.428,2.94258,2.75608,0,2.94258,3.10319,289.086,2.94258,3.05171,196.428,2.94258,3.10319,289.086,2.94258,2.75608,0,2.94258,2.96062,32.461,2.94258,3.09905,281.63,2.94258,3.04615,186.427,2.94258,3.05171,196.428,2.94258,2.75608,0,2.94258,3.10319,289.086,2.94258,3.09905,281.63,2.94258,2.96062,32.4613,2.94258,3.04615,186.427,2.94258,2.98398,74.5046,2.94258,2.98398,74.5044,2.94258,2.98398,74.5041,2.94258,2.96062,32.461,2.94258,3.09905,281.63,2.94258,3.04615,186.427,
3.0015,0.331754,2.6677,0.601011,-0.348064,-0.0447769,1.09228,0.0326286,1.61969,3.63243,-0.75907,-0.398376,-0.0523074,0.913466,0.0326286,-0.0702495,3.63243,-0.363224,-0.657294,-0.190404,-0.61621,0.0326286,1.75158,2.6677,0.0721188,-0.836578,-0.255784,-0.600987,0.0326286,0.583634,2.6677,-0.893043,-1.97367,0.2482,0.358072,0.0326286,1.11753,3.63243,0.902382,-2.12557,0.341739,0.238999,0.0326286,4.9146,4.9346,400,4.9146,4.9346,400,4.9146,4.9346,400,2.94258,2.98769,81.1811,2.94258,2.98768,81.1802,2.94258,2.98769,81.1813,2.94258,3.08047,248.193,2.94258,2.62292,0,2.94258,3.13813,351.985,2.94258,3.08047,248.193,2.94258,3.13813,351.985,2.94258,2.62292,0,2.94258,2.97349,55.6279,2.94258,3.128,333.745,2.94258,3.07226,233.409,2.94258,3.08047,248.193,2.94258,2.62292,0,2.94258,3.13813,351.985,2.94258,3.128,333.745,2.94258,2.97349,55.628,2.94258,3.07226,233.409,2.94258,2.99855,100.741,2.94258,2.99855,100.741,2.94258,2.99855,100.741,2.94258,2.97349,55.628,2.94258,3.128,333.745,2.94258,3.07226,233.409,
3.2016,0.356226,2.57908,0.636656,-0.34596,-0.0196215,1.12633,0.0326286,1.63221,3.50193,-0.801053,-0.405301,-0.030709,0.896606,0.0326286,-0.112865,3.50193,-0.353087,-0.643992,-0.171206,-0.634992,0.0326286,1.77022,2.57908,0.0330895,-0.867857,-0.261008,-0.622311,0.0326286,0.540519,2.57908,-0.889681,-1.94075,0.2223,0.355499,0.0326286,1.14762,3.50193,0.934207,-2.13768,0.336241,0.20952,0.0326286,4.82511,4.84511,400,4.82511,4.84511,400,4.82511,4.84511,400,2.94258,2.99609,96.3081,2.94258,2.99609,96.3081,2.94258,2.99609,96.3092,2.94258,3.10089,284.949,2.94258,2.53282,0,2.94258,3.16174,394.48,2.94258,3.10089,284.95,2.94258,3.16174,394.48,2.94258,2.53282,0,2.94258,2.98305,72.8304,2.94258,3.14668,367.371,2.94258,3.09173,268.463,2.94258,3.10089,284.949,2.94258,2.53281,0,2.94258,3.16174,394.48,2.94258,3.14668,367.371,2.94258,2.98305,72.8297,2.94258,3.09173,268.464,2.94258,3.0092,119.916,2.94258,3.0092,119.916,2.94258,3.0092,119.916,2.94258,2.98305,72.83,2.94258,3.14668,367.371,2.94258,3.09173,268.463,
3.4017,0.371508,2.51408,0.659836,-0.344192,-0.00293121,1.15143,0.0326286,1.63991,3.40393,-0.82832,-0.409801,-0.0176313,0.885866,0.0326286,-0.140322,3.40392,-0.346109,-0.635701,-0.159229,-0.646284,0.0326286,1.78267,2.51409,0.00829006,-0.890508,-0.266313,-0.636566,0.0326286,0.512824,2.51409,-0.888042,-1.91669,0.204281,0.354452,0.0326286,1.1674,3.40393,0.954517,-2.14531,0.332891,0.191338,0.0326286,4.75844,4.77844,400,4.75844,4.77844,400,4.75844,4.77844,400,2.94258,3.00277,108.327,2.94258,3.00279,108.365,2.94258,3.00278,108.354,2.94258,3.11614,312.396,2.94258,2.47048,0,2.94258,3.17829,424.276,2.94258,3.11613,312.382,2.94258,3.17829,424.273,2.94258,2.47046,0,2.94258,2.99022,85.7522,2.94258,3.15939,390.255,2.94258,3.10664,295.302,2.94258,3.11614,312.392,2.94258,2.47045,0,2.94258,3.17829,424.274,2.94258,3.15939,390.257,2.94258,2.99023,85.7561,2.94258,3.10664,295.302,2.94258,3.01711,134.139,2.94258,3.0171,134.129,2.94258,3.0171,134.132,2.94258,2.99023,85.7594,2.94258,3.1594,390.26,2.94258,3.10664,295.299,
3.6018,0.381678,2.46409,0.676972,-0.342792,0.00979395,1.17051,0.0326286,1.64504,3.32857,-0.848613,-0.413084,-0.00832514,0.878136,0.0326286,-0.160476,3.32857,-0.34048,-0.629887,-0.150589,-0.65427,0.0326286,1.79239,2.46408,-0.00917169,-0.907481,-0.270741,-0.647524,0.0326286,0.492818,2.46407,-0.887817,-1.89825,0.19105,0.353263,0.0326286,1.18233,3.32858,0.969071,-2.15075,0.330411,0.178383,0.0326286,4.70764,4.72764,400,4.70764,4.72764,400,4.70764,4.72764,400,2.94258,3.00802,117.79,2.94258,3.00802,117.777,2.94258,3.00802,117.79,2.94258,3.12773,333.261,2.94258,2.42419,0,2.94258,3.19033,445.945,2.94258,3.12772,333.253,2.94258,3.19033,445.94,2.94258,2.4242,0,2.94258,2.99572,95.6521,2.94258,3.16844,406.533,2.94258,3.11826,316.221,2.94258,3.12773,333.265,2.94258,2.42422,0,2.94258,3.19033,445.94,2.94258,3.16844,406.532,2.94258,2.99573,95.6586,2.94258,3.11826,316.21,2.94258,3.02313,144.99,2.94258,3.02314,144.991,2.94258,3.02313,144.989,2.94258,2.99573,95.6578,2.94258,3.16844,406.533,2.94258,3.11826,316.214,
3.8019,0.389291,2.42531,0.690197,-0.3413,0.0201017,1.18506,0.0326286,1.64824,3.27007,-0.864171,-0.415538,-0.00110448,0.872253,0.0326286,-0.175556,3.27007,-0.335479,-0.625594,-0.143864,-0.660339,0.0326286,1.80004,2.42532,-0.0223818,-0.920703,-0.27363,-0.656219,0.0326286,0.477555,2.42531,-0.887838,-1.88434,0.180262,0.351695,0.0326286,1.1942,3.27007,0.979628,-2.15486,0.328308,0.168484,0.0326286,4.66838,4.68838,400,4.66838,4.68838,400,4.66838,4.68838,400,2.94258,3.01173,124.459,2.94258,3.01173,124.459,2.94258,3.01173,124.459,2.94258,3.13675,349.499,2.94258,2.38973,0,2.94258,3.19932,462.121,2.94258,3.13675,349.499,2.94258,3.19932,462.121,2.94258,2.38974,0,2.94258,2.99999,103.321,2.94258,3.17507,418.478,2.94258,3.1274,332.676,2.94258,3.13675,349.499,2.94258,2.38974,0,2.94258,3.19932,462.121,2.94258,3.17507,418.478,2.94258,2.99998,103.321,2.94258,3.1274,332.676,2.94258,3.0278,153.393,2.94258,3.0278,153.393,2.94258,3.0278,153.394,2.94258,2.99999,103.321,2.94258,3.17507,418.478,2.94258,3.1274,332.677,
